record_id,label,method,global_f1,global_sensitivity,global_ppv,global_lag_ms,local_f1,local_sensitivity,local_ppv,local_lag_ms,lag_iqr_ms,hr_mae_bpm
mimic_perform_af_014,AF,neurokit_elgendi,0.5001424095699231,0.4971687429218573,0.5031518624641834,159.9999999999966,0.6408430646539447,0.6370328425821065,0.6446991404011462,164.0000000000157,145.99999999998658,1.55
mimic_perform_af_015,AF,current_scipy,0.908315565031983,0.8329608938547486,0.9986604152712659,703.9999999999509,0.906487968321657,0.8312849162011173,0.9966510381781648,699.9999999999886,7.999999999945771,14.85
mimic_perform_af_015,AF,neurokit_elgendi,0.9088692471807376,0.8329608938547486,1.0,703.9999999999509,0.9070405364218227,0.8312849162011173,0.9979879275653923,703.9999999999509,2.0000000000023874,14.95
mimic_perform_af_016,AF,current_scipy,0.8548387096774195,0.8363390441839496,0.8741753063147973,111.99999999999655,0.8617511520737328,0.8431018935978359,0.88124410933082,115.99999999998545,14.000000000038426,5.3
mimic_perform_af_016,AF,neurokit_elgendi,0.8371764705882353,0.8020739404869252,0.875492125984252,112.00000000002319,0.8456470588235294,0.8101893597835889,0.8843503937007874,115.9999999999819,16.000000000014225,9.5
mimic_perform_af_017,AF,current_scipy,0.9947143216712812,0.9959677419354839,0.9934640522875817,560.0000000000023,0.8421847470425371,0.8432459677419355,0.8411261940673705,563.999999999993,93.99999999997988,1.65
mimic_perform_af_017,AF,neurokit_elgendi,0.984418901660281,0.9712701612903226,0.9979285344381149,560.0000000000023,0.9828863346104725,0.969758064516129,0.9963749352667012,563.999999999993,13.999999999995794,3.05
mimic_perform_af_018,AF,current_scipy,0.7174887892376682,0.7017543859649122,0.7339449541284404,175.99999999993088,0.7203209818267642,0.7045244690674054,0.7368421052631579,171.99999999999704,10.000000000012221,4.75
mimic_perform_af_018,AF,neurokit_elgendi,0.7104693140794224,0.6814404432132964,0.7420814479638009,168.00000000000637,0.7080625752105896,0.6791320406278855,0.7395676219205631,171.99999999999704,11.999999999964928,8.85
mimic_perform_af_019,AF,current_scipy,0.955531453362256,0.9422459893048128,0.9691969196919692,600.0000000000227,0.8210412147505423,0.8096256684491978,0.8327832783278328,604.0000000000134,115.99999999998545,3.5
mimic_perform_af_019,AF,neurokit_elgendi,0.955998906805138,0.9352941176470588,0.9776411403018446,600.0000000000227,0.8335610822629135,0.8155080213903744,0.8524315259921744,604.0000000000134,117.99999999998079,4.05
mimic_perform_non_af_001,Non-AF,current_scipy,0.9671052631578948,0.9655172413793104,0.9686985172981878,631.9999999999482,0.9613486842105263,0.9597701149425287,0.9629324546952224,627.9999999999859,37.99999999992565,1.4
mimic_perform_non_af_001,Non-AF,neurokit_elgendi,0.9711459192085737,0.9671592775041051,0.9751655629139073,632.000000000005,0.9653751030502886,0.9614121510673235,0.9693708609271523,632.0000000000015,31.999999999987608,1.5
mimic_perform_non_af_002,Non-AF,current_scipy,0.999009900990099,0.999009900990099,0.999009900990099,719.9999999997999,0.997029702970297,0.997029702970297,0.997029702970297,719.9999999999562,4.00000000005457,0.9
mimic_perform_non_af_002,Non-AF,neurokit_elgendi,0.999009900990099,0.999009900990099,0.999009900990099,711.9999999999891,0.997029702970297,0.997029702970297,0.997029702970297,711.9999999999961,4.000000000015575,0.9
mimic_perform_non_af_003,Non-AF,current_scipy,0.9937205651491365,0.9890625,0.998422712933754,584.0000000000032,0.9921507064364208,0.9875,0.9968454258675079,584.0000000000032,5.999999999971806,1.1
mimic_perform_non_af_003,Non-AF,neurokit_elgendi,0.9952953476215368,0.9916666666666667,0.9989506820566632,584.0000000000032,0.9937271301620492,0.9901041666666667,0.9973767051416579,584.0000000000032,2.0000000000379714,0.8
mimic_perform_non_af_004,Non-AF,current_scipy,0.9893223819301847,0.9820627802690582,0.9966901117087298,128.00000000004275,0.9897330595482545,0.9824704443538524,0.9971038477451386,132.000000000005,7.999999999945828,2.1
mimic_perform_non_af_004,Non-AF,neurokit_elgendi,0.9872375463153561,0.9775784753363229,0.9970893970893971,135.99999999996726,0.9872375463153561,0.9775784753363229,0.9970893970893971,132.000000000005,7.999999999945828,2.8
mimic_perform_non_af_005,Non-AF,current_scipy,1.0,1.0,1.0,56.00000000004002,1.0,1.0,1.0,60.000000000002274,9.999999999948272,0.6
mimic_perform_non_af_005,Non-AF,neurokit_elgendi,0.9997663005375087,0.9995327102803738,1.0,63.99999999996453,0.9997663005375087,0.9995327102803738,1.0,60.000000000030695,10.000000000001563,0.65
mimic_perform_non_af_006,Non-AF,current_scipy,0.9646162221012521,0.9609544468546638,0.9683060109289617,40.00000000000625,0.970059880239521,0.9663774403470716,0.9737704918032787,36.00000000001913,165.99999999996663,1.1
mimic_perform_non_af_006,Non-AF,neurokit_elgendi,0.9667574931880109,0.9620390455531453,0.9715224534501643,40.00000000000625,0.9738419618528611,0.9690889370932755,0.9786418400876232,36.00000000001913,165.99999999996663,1.3
mimic_perform_non_af_007,Non-AF,current_scipy,0.9541284403669724,0.9657142857142857,0.9428172942817294,695.9999999999127,0.9527170077628794,0.9642857142857143,0.9414225941422594,692.0000000000073,7.999999999846409,3.1
mimic_perform_non_af_007,Non-AF,neurokit_elgendi,0.9691535150645625,0.965,0.973342939481268,695.999999999998,0.9677187948350071,0.9635714285714285,0.9719020172910663,696.0000000000122,4.979483492206782e-11,1.7
mimic_perform_non_af_008,Non-AF,current_scipy,0.9907940161104719,0.9930795847750865,0.9885189437428243,615.9999999999854,0.9890678941311852,0.9913494809688581,0.986796785304248,612.0000000000232,7.999999999938723,0.9
