bootstrap,RF_AC_window_auc,RF_AC_subject_auc,XGB_COSEN_AC_window_auc,XGB_COSEN_AC_subject_auc,delta_window,delta_subject
212,0.9852097231532021,0.9953703703703703,0.9875670970453361,0.9675925925925926,0.0023573738921339737,-0.02777777777777779
213,0.9838932966933277,0.9868421052631579,0.9858427894283252,0.9638157894736842,0.001949492734997449,-0.023026315789473673
214,0.961876636731907,0.9818840579710145,0.9638669964069962,0.8913043478260869,0.001990359675089204,-0.0905797101449276
215,0.9888507734799369,0.9934640522875816,0.9896313883209129,0.9771241830065359,0.0007806148409760238,-0.016339869281045694
216,0.9544654313894475,0.94,0.9556887388681413,0.88,0.0012233074786938136,-0.05999999999999994
217,0.9524640077231697,0.9387755102040816,0.9565654759461957,0.8571428571428571,0.004101468223025928,-0.08163265306122447
218,0.9875294080094932,0.9901960784313725,0.9887301372718004,0.9705882352941178,0.0012007292623071875,-0.01960784313725472
219,0.9926467600432424,1.0,0.9950525597605046,0.9901315789473684,0.0024057997172621803,-0.009868421052631637
220,0.9844250257089208,0.9818840579710145,0.9858452614399493,0.9420289855072463,0.001420235731028563,-0.03985507246376818
221,0.9685807747402322,0.9727891156462586,0.9713918316536612,0.9217687074829931,0.0028110569134289776,-0.051020408163265474
222,0.9653755306584954,0.9673202614379085,0.9677124464647489,0.9281045751633987,0.0023369158062535034,-0.039215686274509776
223,0.9824168176319652,0.9931972789115646,0.9852303173495771,0.9625850340136054,0.0028134997176119114,-0.030612244897959218
224,0.9677217732702162,0.9710144927536232,0.971351987393261,0.9239130434782609,0.0036302141230447615,-0.047101449275362306
225,0.9660835040596321,0.9835526315789473,0.9699165772086061,0.9210526315789473,0.0038330731489740755,-0.0625
226,0.9796523518978804,0.9782608695652174,0.9817997493640425,0.9528985507246377,0.0021473974661621043,-0.025362318840579712
227,0.9950442672228953,1.0,0.9972433167214152,1.0,0.0021990494985199005,0.0
228,0.9898653127969415,0.9965034965034965,0.9922476259735667,0.986013986013986,0.0023823131766252947,-0.010489510489510412
229,0.9851705688020684,0.9833333333333334,0.9871770564014173,0.96,0.0020064875993488496,-0.023333333333333428
230,0.9956182535256755,1.0,0.9974105461393598,1.0,0.0017922926136842987,0.0
231,0.9796996130844163,0.9755244755244754,0.9831731397014362,0.9580419580419581,0.0034735266170198287,-0.01748251748251728
232,0.985158929989692,0.9934640522875817,0.9891082402509985,0.9803921568627452,0.003949310261306516,-0.013071895424836555
233,0.9579753292766795,0.9696969696969697,0.9634854904982023,0.8712121212121212,0.0055101612215228135,-0.09848484848484851
234,0.9903114338716431,0.9934640522875817,0.9912789878950719,0.9803921568627451,0.0009675540234287405,-0.013071895424836666
235,0.992806579703352,1.0,0.9937891221518317,0.993421052631579,0.0009825424484797285,-0.006578947368421018
236,0.9972550991094512,1.0,0.9983596667624246,1.0,0.0011045676529733983,0.0
237,0.9903313060945566,1.0,0.9931489558033654,0.9924242424242424,0.0028176497088088226,-0.007575757575757569
238,0.9740371540744998,0.9733333333333334,0.976758833668486,0.9500000000000001,0.0027216795939862815,-0.023333333333333317
239,0.9529223065267475,0.9542483660130718,0.9589879138479102,0.8986928104575164,0.00606560732116268,-0.05555555555555547
240,0.9834986134643459,0.9829931972789115,0.9854956058838358,0.9625850340136054,0.001996992419489918,-0.020408163265306145
241,0.9909217732865434,1.0,0.9919666612216083,0.9869281045751633,0.0010448879350648532,-0.013071895424836666
242,0.9853785955634767,0.9965986394557823,0.9884071841893898,0.9795918367346939,0.0030285886259130423,-0.017006802721088454
243,0.9839301539824971,0.9803921568627451,0.9861327035841627,0.934640522875817,0.00220254960166566,-0.04575163398692805
244,0.956848219280606,0.9539473684210527,0.9606042765992833,0.9144736842105263,0.0037560573186772306,-0.03947368421052633
245,0.9962960981577347,1.0,0.9968551338949829,1.0,0.000559035737248248,0.0
246,0.9721602612125958,0.9640522875816993,0.9740810525110167,0.9117647058823529,0.0019207912984209319,-0.05228758169934633
247,0.9718393078767463,0.9803921568627452,0.9741791574429254,0.8856209150326798,0.002339849566179053,-0.09477124183006536
